Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
l1_i_size/2kB	1.275237	0.001531	0.031930	0.009281
l1_i_size/4kB	1.230966	0.001531	0.020191	0.013849
l1_i_size/8kB	1.164713	0.001532	0.001506	0.064648
l1_i_size/16kB	1.162150	0.001532	0.000637	0.078065
l1_i_size/32kB	1.160961	0.001533	0.000181	0.087709
l1_i_size/64kB	1.160921	0.001533	0.000114	0.089337
l1_i_size/128kB	1.160746	0.001533	0.000078	0.090248
l1_i_size/256kB	1.160746	0.001533	0.000077	0.090279
l1_d_size/2kB	1.445817	0.028462	0.000181	0.004768
l1_d_size/4kB	1.245399	0.009975	0.000181	0.013596
l1_d_size/8kB	1.179768	0.003930	0.000180	0.034455
l1_d_size/16kB	1.166798	0.002616	0.000181	0.051529
l1_d_size/32kB	1.165240	0.002380	0.000181	0.056674
l1_d_size/64kB	1.160961	0.001533	0.000181	0.087709
l1_d_size/128kB	1.159202	0.000624	0.000180	0.215988
l1_d_size/256kB	1.158115	0.000193	0.000180	0.689822
l1_i_assoc/1	1.161828	0.001533	0.000509	0.080570
l1_i_assoc/2	1.160961	0.001533	0.000181	0.087709
l1_i_assoc/4	1.160905	0.001533	0.000107	0.089492
l1_i_assoc/8	1.160808	0.001533	0.000090	0.089906
l1_i_assoc/16	1.160808	0.001533	0.000089	0.089948
l1_d_assoc/1	1.174733	0.002629	0.000181	0.052296
l1_d_assoc/2	1.160961	0.001533	0.000181	0.087709
l1_d_assoc/4	1.161012	0.001511	0.000180	0.089085
l1_d_assoc/8	1.161124	0.001621	0.000180	0.083029
l1_d_assoc/16	1.161048	0.001620	0.000180	0.083054
l2_size/2kB	1.220893	0.002355	0.000180	0.985076
l2_size/4kB	1.220438	0.002350	0.000181	0.975646
l2_size/8kB	1.218712	0.002334	0.000181	0.956846
l2_size/16kB	1.214923	0.002284	0.000181	0.901569
l2_size/32kB	1.206260	0.002147	0.000181	0.775246
l2_size/64kB	1.192394	0.001920	0.000181	0.548885
l2_size/128kB	1.171286	0.001652	0.000181	0.240758
l2_size/256kB	1.161060	0.001534	0.000181	0.089294
l2_size/512kB	1.160961	0.001533	0.000181	0.087709
l2_size/1024kB	1.160961	0.001533	0.000181	0.087709
l2_size/2048kB	1.160961	0.001533	0.000181	0.087709
l2_size/4096kB	1.160961	0.001533	0.000181	0.087709
l2_assoc/1	1.160961	0.001533	0.000181	0.087709
l2_assoc/2	1.160961	0.001533	0.000181	0.087709
l2_assoc/4	1.160961	0.001533	0.000181	0.087709
l2_assoc/8	1.160961	0.001533	0.000181	0.087709
l2_assoc/16	1.160961	0.001533	0.000181	0.087709
cache_line/32	1.168078	0.002987	0.000184	0.086224
cache_line/64	1.160961	0.001533	0.000181	0.087709
cache_line/128	1.154814	0.000811	0.000294	0.082322
cache_line/256	1.151575	0.000480	0.000383	0.067950
cache_line/512	1.152846	0.000379	0.000603	0.040371
cache_line/1024	1.156461	0.000388	0.000906	0.019991
