Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
l1_i_size/2kB	1,660696	0.015204	0.003869	0.262833
l1_i_size/4kB	1,654697	0.015205	0.001262	0.275551
l1_i_size/8kB	1,653431	0.015205	0.000276	0.280675
l1_i_size/16kB	1,652776	0.015205	0.000054	0.281802
l1_i_size/32kB	1,652621	0.015205	0.000051	0.281779
l1_i_size/64kB	1,652889	0.015204	0.000048	0.281767
l1_i_size/128kB	1,653064	0.015205	0.000047	0.281764
l1_i_size/256kB	1,652896	0.015204	0.000047	0.281765
                
l1_d_size/2kB	1,972000	0.043777	0.000051	0.093609
l1_d_size/4kB	1,782000	0.030205	0.000051	0.136094
l1_d_size/8kB	1,747542	0.026326	0.000051	0.157162
l1_d_size/16kB	1,714044	0.022373	0.000051	0.186331
l1_d_size/32kB	1,680632	0.018543	0.000051	0.227536
l1_d_size/64kB	1,652621	0.015205	0.000051	0.281779
l1_d_size/128kB	1,622936	0.012093	0.000051	0.362440
l1_d_size/256kB	1,589011	0.008625	0.000051	0.532270
                
l1_i_assoc/1	1,653068	0.015205	0.000147	0.281286
l1_i_assoc/2	1,652621	0.015205	0.000051	0.281779
l1_i_assoc/4	1,652752	0.015205	0.000047	0.281794
l1_i_assoc/8	1,652822	0.015205	0.000047	0.281785
l1_i_assoc/16	1,652926	0.015204	0.000047	0.281786
                 
l1_d_assoc/1	1,682698	0.018227	0.000051	0.232383
l1_d_assoc/2	1,652621	0.015205	0.000051	0.281779
l1_d_assoc/4	1,636441	0.013710	0.000051	0.315481
l1_d_assoc/8	1,630289	0.013101	0.000051	0.331644
l1_d_assoc/16	1,626827	0.012760	0.000051	0.341452
                 
l2_size/2kB		2,222626	0.015128	0.000051	0.960725
l2_size/4kB		2,207860	0.015129	0.000051	0.942530
l2_size/8kB		2,185579	0.015130	0.000051	0.914944
l2_size/16kB	2,152255	0.015131	0.000051	0.874661
l2_size/32kB	2,104608	0.015130	0.000051	0.818333
l2_size/64kB	2,041767	0.015127	0.000051	0.743769
l2_size/128kB	1,965056	0.015127	0.000051	0.654101
l2_size/256kB	1,838838	0.015188	0.000051	0.513553
l2_size/512kB	1,736495	0.015197	0.000051	0.389823
l2_size/1024kB	1,683711	0.015203	0.000051	0.318430
l2_size/2048kB	1,652621	0.015205	0.000051	0.281779
l2_size/4096kB	1,626757	0.015203	0.000051	0.251425
                
l2_assoc/1		1,679874	0.015187	0.000051	0.313776
l2_assoc/2		1,661497	0.015199	0.000051	0.292448
l2_assoc/4		1,651953	0.015200	0.000051	0.281773
l2_assoc/8		1,652621	0.015205	0.000051	0.281779
l2_assoc/16		1,653880	0.015206	0.000051	0.282777
           
cache_line/32	1,827465	0.018705	0.000065	0.426618
cache_line/64	1,652621	0.015205	0.000051	0.281779
cache_line/128	1,639165	0.014669	0.000040	0.173704
cache_line/256	1,635134	0.015581	0.000053	0.108412
cache_line/512	1,658467	0.017096	0.000052	0.073660
cache_line/1024	1,775606	0.019306	0.000073	0.055259
