Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
l1_i_size/2kB	10.270923	0.121829	0.000033	0.999844
l1_i_size/4kB	10.271284	0.121829	0.000025	0.999900
l1_i_size/8kB	10.270780	0.121829	0.000019	0.999950
l1_i_size/16kB	10.270913	0.121829	0.000016	0.999966
l1_i_size/32kB	10.270747	0.121829	0.000015	0.999978
l1_i_size/64kB	10.270603	0.121829	0.000014	0.999984
l1_i_size/128kB	10.270768	0.121829	0.000014	0.999985
l1_i_size/256kB	10.270768	0.121829	0.000014	0.999985
l1_d_size/2kB	10.303761	0.123834	0.000015	0.968176
l1_d_size/4kB	10.277599	0.122262	0.000015	0.992961
l1_d_size/8kB	10.271391	0.121896	0.000015	0.998897
l1_d_size/16kB	10.270768	0.121832	0.000015	0.999942
l1_d_size/32kB	10.270985	0.121831	0.000015	0.999946
l1_d_size/64kB	10.270747	0.121829	0.000015	0.999978
l1_d_size/128kB	10.270768	0.121829	0.000015	0.999982
l1_d_size/256kB	10.270791	0.121829	0.000015	0.999986
l1_i_assoc/1	10.270726	0.121829	0.000016	0.999967
l1_i_assoc/2	10.270747	0.121829	0.000015	0.999978
l1_i_assoc/4	10.270770	0.121829	0.000014	0.999983
l1_i_assoc/8	10.270770	0.121829	0.000014	0.999985
l1_i_assoc/16	10.270770	0.121829	0.000014	0.999985
l1_d_assoc/1	10.271608	0.121879	0.000015	0.999186
l1_d_assoc/2	10.270747	0.121829	0.000015	0.999978
l1_d_assoc/4	10.270770	0.121829	0.000015	0.999978
l1_d_assoc/8	10.270828	0.121829	0.000015	0.999979
l1_d_assoc/16	10.270768	0.121829	0.000015	0.999979
l2_size/2kB	10.212408	0.121829	0.000015	0.999996
l2_size/4kB	10.203923	0.121829	0.000015	0.999994
l2_size/8kB	10.194253	0.121829	0.000015	0.999992
l2_size/16kB	10.220821	0.121829	0.000015	0.999990
l2_size/32kB	10.220803	0.121829	0.000015	0.999989
l2_size/64kB	10.260605	0.121829	0.000015	0.999988
l2_size/128kB	10.412704	0.121829	0.000015	0.999987
l2_size/256kB	10.274213	0.121829	0.000015	0.999978
l2_size/512kB	10.273095	0.121829	0.000015	0.999978
l2_size/1024kB	10.273259	0.121829	0.000015	0.999978
l2_size/2048kB	10.270747	0.121829	0.000015	0.999978
l2_size/4096kB	10.265042	0.121829	0.000015	0.999978
l2_assoc/1	10.270514	0.121829	0.000015	0.999978
l2_assoc/2	10.270626	0.121829	0.000015	0.999978
l2_assoc/4	10.270819	0.121829	0.000015	0.999978
l2_assoc/8	10.270747	0.121829	0.000015	0.999978
l2_assoc/16	10.271130	0.121829	0.000015	0.999978
cache_line/32	17.654613	0.243654	0.000022	0.999989
cache_line/64	10.270747	0.121829	0.000015	0.999978
cache_line/128	6.799349	0.060917	0.000011	0.999946
cache_line/256	5.175659	0.030461	0.000011	0.999885
cache_line/512	3.943837	0.015232	0.000010	0.999739
cache_line/1024	3.259711	0.007619	0.000010	0.999266
