Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
l1_i_size/2kB	3.171410	0.002092	0.355873	0.004390
l1_i_size/4kB	2.625465	0.002092	0.260092	0.005893
l1_i_size/8kB	1.408245	0.002092	0.053646	0.026278
l1_i_size/16kB	1.164635	0.002091	0.009648	0.124654
l1_i_size/32kB	1.129541	0.002091	0.000037	0.723909
l1_i_size/64kB	1.129525	0.002091	0.000036	0.724290
l1_i_size/128kB	1.129520	0.002091	0.000019	0.730580
l1_i_size/256kB	1.129520	0.002091	0.000019	0.730580
l1_d_size/2kB	1.411534	0.044760	0.000037	0.028467
l1_d_size/4kB	1.210761	0.014297	0.000037	0.100702
l1_d_size/8kB	1.139884	0.004935	0.000037	0.306725
l1_d_size/16kB	1.131736	0.002925	0.000037	0.517934
l1_d_size/32kB	1.130250	0.002407	0.000037	0.636443
l1_d_size/64kB	1.129541	0.002091	0.000037	0.723909
l1_d_size/128kB	1.129362	0.001949	0.000037	0.772862
l1_d_size/256kB	1.129146	0.001871	0.000037	0.802894
l1_i_assoc/1	1.167696	0.002091	0.009222	0.129353
l1_i_assoc/2	1.129541	0.002091	0.000037	0.723909
l1_i_assoc/4	1.129517	0.002091	0.000019	0.730485
l1_i_assoc/8	1.129517	0.002091	0.000019	0.730558
l1_i_assoc/16	1.129517	0.002091	0.000019	0.730580
l1_d_assoc/1	1.130884	0.002651	0.000037	0.571337
l1_d_assoc/2	1.129541	0.002091	0.000037	0.723909
l1_d_assoc/4	1.129515	0.001988	0.000037	0.756999
l1_d_assoc/8	1.129309	0.001953	0.000037	0.768343
l1_d_assoc/16	1.129361	0.001940	0.000037	0.772745
l2_size/2kB	1.146644	0.002092	0.000037	0.989751
l2_size/4kB	1.146322	0.002092	0.000037	0.985261
l2_size/8kB	1.145818	0.002092	0.000037	0.979520
l2_size/16kB	1.145414	0.002092	0.000037	0.972124
l2_size/32kB	1.144727	0.002092	0.000037	0.964928
l2_size/64kB	1.143787	0.002091	0.000037	0.949638
l2_size/128kB	1.142014	0.002091	0.000037	0.922941
l2_size/256kB	1.138956	0.002091	0.000037	0.882618
l2_size/512kB	1.136509	0.002091	0.000037	0.836535
l2_size/1024kB	1.133415	0.002091	0.000037	0.778170
l2_size/2048kB	1.129541	0.002091	0.000037	0.723909
l2_size/4096kB	1.129230	0.002091	0.000037	0.719603
l2_assoc/1	1.131941	0.002091	0.000037	0.772072
l2_assoc/2	1.129543	0.002091	0.000037	0.725565
l2_assoc/4	1.129520	0.002091	0.000037	0.724111
l2_assoc/8	1.129541	0.002091	0.000037	0.723909
l2_assoc/16	1.129552	0.002091	0.000037	0.724258
cache_line/32	1.154154	0.003155	0.000042	0.836163
cache_line/64	1.129541	0.002091	0.000037	0.723909
cache_line/128	1.095317	0.001305	0.000038	0.553679
cache_line/256	1.080834	0.000986	0.000040	0.346185
cache_line/512	1.205035	0.001089	0.019060	0.009959
cache_line/1024	1.305143	0.002178	0.024727	0.003816
